instruction,input,output
"Use only one of the following options, if none of them is suitable return Unknown. Options: a chair with a spindle backrest, a chair with a thick seat, a chair with short legs, a chair with two legs, a chair with a thin seat, a chair without a legs strecher, a chair with long legs, a chair with a rounded backrest, a chair with four legs, a chair with a curved backrest, a chair with a solid backrest, a chair without armrests, a chair with thin legs, a chair with armrests, a chair with a squared backrest, a chair with a legs strecher, a chair with thick legs, a chair with a straight backrest, a chair with a short backrest, a chair with a wide seat, a chair with a long backrest, a chair with a narrow seat.",Can you rewrite please the following description of a chair? Description: Target chair has a back that's pointed..,Unknown
"Use only one of the following options, if none of them is suitable return Unknown. Options: a chair with a spindle backrest, a chair with a thick seat, a chair with short legs, a chair with two legs, a chair with a thin seat, a chair without a legs strecher, a chair with long legs, a chair with a rounded backrest, a chair with four legs, a chair with a curved backrest, a chair with a solid backrest, a chair without armrests, a chair with thin legs, a chair with armrests, a chair with a squared backrest, a chair with a legs strecher, a chair with thick legs, a chair with a straight backrest, a chair with a short backrest, a chair with a wide seat, a chair with a long backrest, a chair with a narrow seat.",Can you rewrite please the following description of a chair? Description: The back rest has an additional piece on it.,Unknown
"Use only one of the following options, if none of them is suitable return Unknown. Options: a chair with a spindle backrest, a chair with a thick seat, a chair with short legs, a chair with two legs, a chair with a thin seat, a chair without a legs strecher, a chair with long legs, a chair with a rounded backrest, a chair with four legs, a chair with a curved backrest, a chair with a solid backrest, a chair without armrests, a chair with thin legs, a chair with armrests, a chair with a squared backrest, a chair with a legs strecher, a chair with thick legs, a chair with a straight backrest, a chair with a short backrest, a chair with a wide seat, a chair with a long backrest, a chair with a narrow seat.",Can you rewrite please the following description of a chair? Description: The chair is like a half circle.,Unknown
"Use only one of the following options, if none of them is suitable return Unknown. Options: a chair with a spindle backrest, a chair with a thick seat, a chair with short legs, a chair with two legs, a chair with a thin seat, a chair without a legs strecher, a chair with long legs, a chair with a rounded backrest, a chair with four legs, a chair with a curved backrest, a chair with a solid backrest, a chair without armrests, a chair with thin legs, a chair with armrests, a chair with a squared backrest, a chair with a legs strecher, a chair with thick legs, a chair with a straight backrest, a chair with a short backrest, a chair with a wide seat, a chair with a long backrest, a chair with a narrow seat.",Can you rewrite please the following description of a chair? Description: The target has no leg spindles..,a chair without a legs strecher
"Use only one of the following options, if none of them is suitable return Unknown. Options: a chair with a spindle backrest, a chair with a thick seat, a chair with short legs, a chair with two legs, a chair with a thin seat, a chair without a legs strecher, a chair with long legs, a chair with a rounded backrest, a chair with four legs, a chair with a curved backrest, a chair with a solid backrest, a chair without armrests, a chair with thin legs, a chair with armrests, a chair with a squared backrest, a chair with a legs strecher, a chair with thick legs, a chair with a straight backrest, a chair with a short backrest, a chair with a wide seat, a chair with a long backrest, a chair with a narrow seat.","Can you rewrite please the following description of a chair? Description: The target's back cushion resembles a ""T""..",Unknown
"Use only one of the following options, if none of them is suitable return Unknown. Options: a chair with a spindle backrest, a chair with a thick seat, a chair with short legs, a chair with two legs, a chair with a thin seat, a chair without a legs strecher, a chair with long legs, a chair with a rounded backrest, a chair with four legs, a chair with a curved backrest, a chair with a solid backrest, a chair without armrests, a chair with thin legs, a chair with armrests, a chair with a squared backrest, a chair with a legs strecher, a chair with thick legs, a chair with a straight backrest, a chair with a short backrest, a chair with a wide seat, a chair with a long backrest, a chair with a narrow seat.",Can you rewrite please the following description of a chair? Description: the legs are thin and long.,a chair with long legs
"Use only one of the following options, if none of them is suitable return Unknown. Options: a chair with a spindle backrest, a chair with a thick seat, a chair with short legs, a chair with two legs, a chair with a thin seat, a chair without a legs strecher, a chair with long legs, a chair with a rounded backrest, a chair with four legs, a chair with a curved backrest, a chair with a solid backrest, a chair without armrests, a chair with thin legs, a chair with armrests, a chair with a squared backrest, a chair with a legs strecher, a chair with thick legs, a chair with a straight backrest, a chair with a short backrest, a chair with a wide seat, a chair with a long backrest, a chair with a narrow seat.",Can you rewrite please the following description of a chair? Description: Target chair has a rounded back..,a chair with a rounded backrest
"Use only one of the following options, if none of them is suitable return Unknown. Options: a chair with a spindle backrest, a chair with a thick seat, a chair with short legs, a chair with two legs, a chair with a thin seat, a chair without a legs strecher, a chair with long legs, a chair with a rounded backrest, a chair with four legs, a chair with a curved backrest, a chair with a solid backrest, a chair without armrests, a chair with thin legs, a chair with armrests, a chair with a squared backrest, a chair with a legs strecher, a chair with thick legs, a chair with a straight backrest, a chair with a short backrest, a chair with a wide seat, a chair with a long backrest, a chair with a narrow seat.",Can you rewrite please the following description of a chair? Description: Target chair has a designed back.,Unknown
"Use only one of the following options, if none of them is suitable return Unknown. Options: a chair with a spindle backrest, a chair with a thick seat, a chair with short legs, a chair with two legs, a chair with a thin seat, a chair without a legs strecher, a chair with long legs, a chair with a rounded backrest, a chair with four legs, a chair with a curved backrest, a chair with a solid backrest, a chair without armrests, a chair with thin legs, a chair with armrests, a chair with a squared backrest, a chair with a legs strecher, a chair with thick legs, a chair with a straight backrest, a chair with a short backrest, a chair with a wide seat, a chair with a long backrest, a chair with a narrow seat.",Can you rewrite please the following description of a chair? Description: The seat is very arty and modern.,Unknown
"Use only one of the following options, if none of them is suitable return Unknown. Options: a chair with a spindle backrest, a chair with a thick seat, a chair with short legs, a chair with two legs, a chair with a thin seat, a chair without a legs strecher, a chair with long legs, a chair with a rounded backrest, a chair with four legs, a chair with a curved backrest, a chair with a solid backrest, a chair without armrests, a chair with thin legs, a chair with armrests, a chair with a squared backrest, a chair with a legs strecher, a chair with thick legs, a chair with a straight backrest, a chair with a short backrest, a chair with a wide seat, a chair with a long backrest, a chair with a narrow seat.",Can you rewrite please the following description of a chair? Description: It has four fully attached legs..,a chair with four legs
"Use only one of the following options, if none of them is suitable return Unknown. Options: a chair with a spindle backrest, a chair with a thick seat, a chair with short legs, a chair with two legs, a chair with a thin seat, a chair without a legs strecher, a chair with long legs, a chair with a rounded backrest, a chair with four legs, a chair with a curved backrest, a chair with a solid backrest, a chair without armrests, a chair with thin legs, a chair with armrests, a chair with a squared backrest, a chair with a legs strecher, a chair with thick legs, a chair with a straight backrest, a chair with a short backrest, a chair with a wide seat, a chair with a long backrest, a chair with a narrow seat.",Can you rewrite please the following description of a chair? Description: It has a curved back.,a chair with a curved backrest
"Use only one of the following options, if none of them is suitable return Unknown. Options: a chair with a spindle backrest, a chair with a thick seat, a chair with short legs, a chair with two legs, a chair with a thin seat, a chair without a legs strecher, a chair with long legs, a chair with a rounded backrest, a chair with four legs, a chair with a curved backrest, a chair with a solid backrest, a chair without armrests, a chair with thin legs, a chair with armrests, a chair with a squared backrest, a chair with a legs strecher, a chair with thick legs, a chair with a straight backrest, a chair with a short backrest, a chair with a wide seat, a chair with a long backrest, a chair with a narrow seat.",Can you rewrite please the following description of a chair? Description: The legs are significantly shorter.,a chair with short legs
"Use only one of the following options, if none of them is suitable return Unknown. Options: a chair with a spindle backrest, a chair with a thick seat, a chair with short legs, a chair with two legs, a chair with a thin seat, a chair without a legs strecher, a chair with long legs, a chair with a rounded backrest, a chair with four legs, a chair with a curved backrest, a chair with a solid backrest, a chair without armrests, a chair with thin legs, a chair with armrests, a chair with a squared backrest, a chair with a legs strecher, a chair with thick legs, a chair with a straight backrest, a chair with a short backrest, a chair with a wide seat, a chair with a long backrest, a chair with a narrow seat.","Can you rewrite please the following description of a chair? Description: it has two, thin legs.",a chair with two legs
"Use only one of the following options, if none of them is suitable return Unknown. Options: a chair with a spindle backrest, a chair with a thick seat, a chair with short legs, a chair with two legs, a chair with a thin seat, a chair without a legs strecher, a chair with long legs, a chair with a rounded backrest, a chair with four legs, a chair with a curved backrest, a chair with a solid backrest, a chair without armrests, a chair with thin legs, a chair with armrests, a chair with a squared backrest, a chair with a legs strecher, a chair with thick legs, a chair with a straight backrest, a chair with a short backrest, a chair with a wide seat, a chair with a long backrest, a chair with a narrow seat.",Can you rewrite please the following description of a chair? Description: The headrest is shorter.,Unknown
"Use only one of the following options, if none of them is suitable return Unknown. Options: a chair with a spindle backrest, a chair with a thick seat, a chair with short legs, a chair with two legs, a chair with a thin seat, a chair without a legs strecher, a chair with long legs, a chair with a rounded backrest, a chair with four legs, a chair with a curved backrest, a chair with a solid backrest, a chair without armrests, a chair with thin legs, a chair with armrests, a chair with a squared backrest, a chair with a legs strecher, a chair with thick legs, a chair with a straight backrest, a chair with a short backrest, a chair with a wide seat, a chair with a long backrest, a chair with a narrow seat.",Can you rewrite please the following description of a chair? Description: The backrest seems less ornate.,Unknown
"Use only one of the following options, if none of them is suitable return Unknown. Options: a chair with a spindle backrest, a chair with a thick seat, a chair with short legs, a chair with two legs, a chair with a thin seat, a chair without a legs strecher, a chair with long legs, a chair with a rounded backrest, a chair with four legs, a chair with a curved backrest, a chair with a solid backrest, a chair without armrests, a chair with thin legs, a chair with armrests, a chair with a squared backrest, a chair with a legs strecher, a chair with thick legs, a chair with a straight backrest, a chair with a short backrest, a chair with a wide seat, a chair with a long backrest, a chair with a narrow seat.",Can you rewrite please the following description of a chair? Description: The backrest is flat.,a chair with a solid backrest
"Use only one of the following options, if none of them is suitable return Unknown. Options: a chair with a spindle backrest, a chair with a thick seat, a chair with short legs, a chair with two legs, a chair with a thin seat, a chair without a legs strecher, a chair with long legs, a chair with a rounded backrest, a chair with four legs, a chair with a curved backrest, a chair with a solid backrest, a chair without armrests, a chair with thin legs, a chair with armrests, a chair with a squared backrest, a chair with a legs strecher, a chair with thick legs, a chair with a straight backrest, a chair with a short backrest, a chair with a wide seat, a chair with a long backrest, a chair with a narrow seat.",Can you rewrite please the following description of a chair? Description: The target's seat is closer to the ground..,a chair with short legs
"Use only one of the following options, if none of them is suitable return Unknown. Options: a chair with a spindle backrest, a chair with a thick seat, a chair with short legs, a chair with two legs, a chair with a thin seat, a chair without a legs strecher, a chair with long legs, a chair with a rounded backrest, a chair with four legs, a chair with a curved backrest, a chair with a solid backrest, a chair without armrests, a chair with thin legs, a chair with armrests, a chair with a squared backrest, a chair with a legs strecher, a chair with thick legs, a chair with a straight backrest, a chair with a short backrest, a chair with a wide seat, a chair with a long backrest, a chair with a narrow seat.",Can you rewrite please the following description of a chair? Description: The target has more vertical spindles.,Unknown
"Use only one of the following options, if none of them is suitable return Unknown. Options: a chair with a spindle backrest, a chair with a thick seat, a chair with short legs, a chair with two legs, a chair with a thin seat, a chair without a legs strecher, a chair with long legs, a chair with a rounded backrest, a chair with four legs, a chair with a curved backrest, a chair with a solid backrest, a chair without armrests, a chair with thin legs, a chair with armrests, a chair with a squared backrest, a chair with a legs strecher, a chair with thick legs, a chair with a straight backrest, a chair with a short backrest, a chair with a wide seat, a chair with a long backrest, a chair with a narrow seat.",Can you rewrite please the following description of a chair? Description: The chair has no arms.,a chair without armrests
"Use only one of the following options, if none of them is suitable return Unknown. Options: a chair with a spindle backrest, a chair with a thick seat, a chair with short legs, a chair with two legs, a chair with a thin seat, a chair without a legs strecher, a chair with long legs, a chair with a rounded backrest, a chair with four legs, a chair with a curved backrest, a chair with a solid backrest, a chair without armrests, a chair with thin legs, a chair with armrests, a chair with a squared backrest, a chair with a legs strecher, a chair with thick legs, a chair with a straight backrest, a chair with a short backrest, a chair with a wide seat, a chair with a long backrest, a chair with a narrow seat.",Can you rewrite please the following description of a chair? Description: it is a bar stool.,Unknown
"Use only one of the following options, if none of them is suitable return Unknown. Options: a chair with a spindle backrest, a chair with a thick seat, a chair with short legs, a chair with two legs, a chair with a thin seat, a chair without a legs strecher, a chair with long legs, a chair with a rounded backrest, a chair with four legs, a chair with a curved backrest, a chair with a solid backrest, a chair without armrests, a chair with thin legs, a chair with armrests, a chair with a squared backrest, a chair with a legs strecher, a chair with thick legs, a chair with a straight backrest, a chair with a short backrest, a chair with a wide seat, a chair with a long backrest, a chair with a narrow seat.",Can you rewrite please the following description of a chair? Description: The target has four separate legs..,a chair with four legs
"Use only one of the following options, if none of them is suitable return Unknown. Options: a chair with a spindle backrest, a chair with a thick seat, a chair with short legs, a chair with two legs, a chair with a thin seat, a chair without a legs strecher, a chair with long legs, a chair with a rounded backrest, a chair with four legs, a chair with a curved backrest, a chair with a solid backrest, a chair without armrests, a chair with thin legs, a chair with armrests, a chair with a squared backrest, a chair with a legs strecher, a chair with thick legs, a chair with a straight backrest, a chair with a short backrest, a chair with a wide seat, a chair with a long backrest, a chair with a narrow seat.",Can you rewrite please the following description of a chair? Description: It is a ball chair.,Unknown
"Use only one of the following options, if none of them is suitable return Unknown. Options: a chair with a spindle backrest, a chair with a thick seat, a chair with short legs, a chair with two legs, a chair with a thin seat, a chair without a legs strecher, a chair with long legs, a chair with a rounded backrest, a chair with four legs, a chair with a curved backrest, a chair with a solid backrest, a chair without armrests, a chair with thin legs, a chair with armrests, a chair with a squared backrest, a chair with a legs strecher, a chair with thick legs, a chair with a straight backrest, a chair with a short backrest, a chair with a wide seat, a chair with a long backrest, a chair with a narrow seat.",Can you rewrite please the following description of a chair? Description: It does not have wheels.,Unknown
"Use only one of the following options, if none of them is suitable return Unknown. Options: a chair with a spindle backrest, a chair with a thick seat, a chair with short legs, a chair with two legs, a chair with a thin seat, a chair without a legs strecher, a chair with long legs, a chair with a rounded backrest, a chair with four legs, a chair with a curved backrest, a chair with a solid backrest, a chair without armrests, a chair with thin legs, a chair with armrests, a chair with a squared backrest, a chair with a legs strecher, a chair with thick legs, a chair with a straight backrest, a chair with a short backrest, a chair with a wide seat, a chair with a long backrest, a chair with a narrow seat.",Can you rewrite please the following description of a chair? Description: There is a back cushion.,Unknown
"Use only one of the following options, if none of them is suitable return Unknown. Options: a chair with a spindle backrest, a chair with a thick seat, a chair with short legs, a chair with two legs, a chair with a thin seat, a chair without a legs strecher, a chair with long legs, a chair with a rounded backrest, a chair with four legs, a chair with a curved backrest, a chair with a solid backrest, a chair without armrests, a chair with thin legs, a chair with armrests, a chair with a squared backrest, a chair with a legs strecher, a chair with thick legs, a chair with a straight backrest, a chair with a short backrest, a chair with a wide seat, a chair with a long backrest, a chair with a narrow seat.",Can you rewrite please the following description of a chair? Description: Single rail with cushion.,Unknown
"Use only one of the following options, if none of them is suitable return Unknown. Options: a chair with a spindle backrest, a chair with a thick seat, a chair with short legs, a chair with two legs, a chair with a thin seat, a chair without a legs strecher, a chair with long legs, a chair with a rounded backrest, a chair with four legs, a chair with a curved backrest, a chair with a solid backrest, a chair without armrests, a chair with thin legs, a chair with armrests, a chair with a squared backrest, a chair with a legs strecher, a chair with thick legs, a chair with a straight backrest, a chair with a short backrest, a chair with a wide seat, a chair with a long backrest, a chair with a narrow seat.",Can you rewrite please the following description of a chair? Description: It is a single seat.,Unknown
"Use only one of the following options, if none of them is suitable return Unknown. Options: a chair with a spindle backrest, a chair with a thick seat, a chair with short legs, a chair with two legs, a chair with a thin seat, a chair without a legs strecher, a chair with long legs, a chair with a rounded backrest, a chair with four legs, a chair with a curved backrest, a chair with a solid backrest, a chair without armrests, a chair with thin legs, a chair with armrests, a chair with a squared backrest, a chair with a legs strecher, a chair with thick legs, a chair with a straight backrest, a chair with a short backrest, a chair with a wide seat, a chair with a long backrest, a chair with a narrow seat.",Can you rewrite please the following description of a chair? Description: It has four legs.,a chair with four legs
